id,slug,name,category,description,relatedSymptoms,symptoms,causes,lifestyle,diet,recommendedFoods,avoidFoods,warningSigns,department,doctorQuestions,sourceRefs,searchKeywords
diabetes,diabetes,당뇨,대사 질환,혈당 조절과 생활습관 기록이 중요한 대사 질환 참고정보입니다.,혈당 상승;갈증;잦은 소변;피로;체중 감소,갈증 증가;잦은 소변;피로감;상처 회복 지연,인슐린 분비 또는 작용 문제;유전적 요인;체중 증가;운동 부족,규칙적인 식사 시간을 유지합니다.;가벼운 유산소 운동을 꾸준히 시도합니다.;혈당 변화와 컨디션을 기록합니다.,정제 탄수화물보다 통곡물을 선택하면 도움이 될 수 있습니다.;채소와 단백질을 함께 구성하는 식사가 권장됩니다.,통곡물;채소;콩류;견과류;무가당 요거트,설탕;단 음료;과자;정제 탄수화물 과다 섭취,심한 갈증;체중 감소;시야 흐림;상처 회복 지연,내분비내과;가정의학과;영양상담,공복혈당과 식후혈당은 어떻게 기록하면 좋나요?;당화혈색소 검사가 필요한가요?;식단과 운동은 어떻게 조절해야 하나요?,article-diabetes-1;MedlinePlus;CDC,당뇨병;혈당;당화혈색소;인슐린;다뇨
hyperlipidemia,hyperlipidemia,고지혈증,대사 질환,혈중 지질 수치와 식습관을 함께 확인할 때 참고할 수 있는 정보입니다.,콜레스테롤;중성지방;피로;검진 이상,대부분 무증상;검진 수치 이상;피로감 가능성,포화지방 섭취;운동 부족;유전적 요인;체중 증가,검진 결과를 기록합니다.;규칙적인 운동과 체중 관리를 시도합니다.;음주와 야식을 줄입니다.,포화지방과 트랜스지방 섭취를 줄이는 식사가 도움이 될 수 있습니다.;채소와 생선을 포함한 균형식이 권장됩니다.,등푸른 생선;채소;귀리;콩류;견과류,튀김;가공육;버터 과다 섭취;단 음식,가슴통증;호흡곤란;팔다리 힘 빠짐;말이 어눌함,내분비내과;순환기내과;가정의학과,지질 수치는 얼마나 자주 확인해야 하나요?;생활관리에서 우선순위는 무엇인가요?;약물 상담이 필요한 수치인가요?,article-hyperlipidemia-1;NHS,고콜레스테롤;중성지방;LDL;HDL;지질
fatty-liver,fatty-liver,지방간,대사 질환,간에 지방이 쌓이는 상태와 생활관리 방향을 정리한 참고정보입니다.,간수치 상승;피로;오른쪽 윗배 불편감;검진 이상,대부분 무증상;피로감;오른쪽 윗배 불편감,체중 증가;음주;당분 섭취;운동 부족;인슐린 저항성,체중과 허리둘레 변화를 기록합니다.;음주량을 줄입니다.;가벼운 운동을 꾸준히 합니다.,단 음료와 과식을 줄이는 식사가 도움이 될 수 있습니다.;단백질과 채소 중심의 균형식이 권장됩니다.,채소;콩류;생선;통곡물;두부,술;단 음료;야식;고열량 가공식품,황달;심한 복통;검은 소변;심한 피로,소화기내과;가정의학과;영양상담,간수치는 어떤 간격으로 확인해야 하나요?;음주는 어느 정도 줄여야 하나요?;추가 검사가 필요한가요?,article-fatty-liver-1;MedlinePlus,지방간;간수치;AST;ALT;비알코올
gout,gout,통풍,대사 질환,요산과 관절 통증 관련 생활관리 참고정보입니다.,발가락 통증;관절 붓기;관절 열감;요산,갑작스러운 관절 통증;붓기;열감;발적,요산 증가;음주;퓨린 많은 음식;탈수;유전적 요인,통증 발생 시기와 음식을 기록합니다.;수분 섭취를 관리합니다.;음주를 줄입니다.,퓨린이 많은 음식과 술은 주의가 필요합니다.;수분 섭취와 균형식이 도움이 될 수 있습니다.,물;저지방 유제품;채소;통곡물,맥주;내장류;과도한 육류;액상과당 음료,관절 열감 심화;발열;통증 급격한 악화,류마티스내과;정형외과;가정의학과,요산 수치를 얼마나 관리해야 하나요?;통증이 있을 때 운동해도 되나요?;주의해야 할 음식은 무엇인가요?,article-gout-1;NHS,요산;퓨린;발가락;통풍발작
obesity,obesity,비만,대사 질환,체중과 생활습관을 장기적으로 기록할 때 참고할 수 있는 정보입니다.,체중 증가;복부비만;숨참;피로,체중 증가;활동 시 숨참;피로감;관절 부담,과식;운동 부족;수면 부족;스트레스;약물 요인 가능성,체중 변화를 주기적으로 기록합니다.;식사 속도와 야식을 점검합니다.;무리하지 않는 활동량을 늘립니다.,극단적 제한보다 지속 가능한 식사 구성이 도움이 될 수 있습니다.;단 음료와 야식은 주의가 필요합니다.,채소;통곡물;두부;생선;물,단 음료;야식;고열량 간식;가공식품,호흡곤란;가슴통증;갑작스러운 부종;심한 피로,가정의학과;내분비내과;영양상담,체중 감량 목표는 어떻게 정하면 좋나요?;동반 검사가 필요한가요?;운동은 어떻게 시작하면 좋나요?,article-obesity-1;WHO,체중;BMI;복부비만;대사증후군
hypertension,hypertension,고혈압,심혈관 질환,혈압 기록과 생활관리 방향을 확인할 수 있는 심혈관 참고정보입니다.,두통;어지러움;가슴 답답함;혈압 상승,두통;어지러움;가슴 답답함;대부분 무증상,나트륨 과다 섭취;스트레스;가족력;비만;운동 부족,혈압을 일정한 시간에 측정합니다.;짠 음식과 가공식품 섭취를 줄입니다.;수면과 스트레스 관리를 병행합니다.,저염식은 혈압 관리에 도움이 될 수 있습니다.;칼륨 섭취는 개인 상태에 따라 상담이 필요합니다.,저염식;채소;과일;등푸른 생선;잡곡,짠 음식;가공식품;라면 국물;젓갈류,가슴통증;호흡곤란;심한 두통;시야 이상,심장내과;순환기내과;가정의학과,가정혈압은 언제 측정해야 하나요?;약물 상담이 필요한 혈압 범위인가요?;저염식은 어떻게 시작하면 좋나요?,article-hypertension-1;CDC,혈압;고혈압;수축기;이완기
hypotension,hypotension,저혈압,심혈관 질환,어지러움과 혈압 저하가 반복될 때 참고할 수 있는 정보입니다.,어지러움;기립성 어지러움;실신 느낌;피로,어지러움;식은땀;무기력;실신 느낌,탈수;약물 영향;기립성 변화;식사 부족;심장 관련 요인 가능성,갑자기 일어나는 행동을 줄입니다.;수분 섭취와 식사 패턴을 기록합니다.;반복되면 상담을 고려합니다.,수분과 균형 잡힌 식사가 도움이 될 수 있습니다.;개인 상태에 따라 염분 섭취는 상담이 필요합니다.,물;수프;균형식;과일,과음;공복 장시간 유지;무리한 다이어트,실신;가슴통증;호흡곤란;의식저하,순환기내과;가정의학과,저혈압이 반복될 때 어떤 검사가 필요한가요?;복용 중인 약이 영향을 줄 수 있나요?;운동 제한이 필요한가요?,article-hypotension-1;NHS,저혈압;기립성;실신;혈압저하
angina,angina,협심증,심혈관 질환,가슴통증과 운동 시 불편감을 이해하기 위한 참고정보입니다.,가슴통증;가슴 압박감;숨참;왼쪽 팔 통증,가슴 압박감;운동 시 통증;숨참;식은땀 가능성,관상동맥 혈류 저하;동맥경화;흡연;고혈압;고지혈증,가슴통증 양상을 기록합니다.;무리한 운동 중 통증이 있으면 중단합니다.;응급 증상은 즉시 도움을 요청합니다.,심혈관 위험 관리를 위한 균형식이 도움이 될 수 있습니다.;짠 음식과 포화지방은 주의가 필요합니다.,채소;통곡물;생선;콩류,튀김;가공육;짠 음식;과음,가슴통증 지속;호흡곤란;식은땀;턱 또는 팔로 퍼지는 통증,심장내과;순환기내과,가슴통증이 협심증과 관련될 수 있나요?;운동검사가 필요한가요?;응급실에 가야 하는 기준은 무엇인가요?,article-angina-1;MedlinePlus,흉통;가슴압박;심장통증;관상동맥
arrhythmia,arrhythmia,부정맥,심혈관 질환,심장 두근거림과 맥박 불규칙을 기록할 때 참고할 수 있는 정보입니다.,심장 두근거림;맥박 불규칙;어지러움;숨참,두근거림;맥박 불규칙;어지러움;가슴 답답함,전기 신호 이상;카페인;스트레스;갑상선 문제;심장질환 가능성,두근거림 시간과 상황을 기록합니다.;카페인과 음주 반응을 살핍니다.;반복되면 진료 상담을 권장합니다.,카페인과 에너지 음료는 주의가 필요합니다.;규칙적인 식사와 수분 섭취가 도움이 될 수 있습니다.,물;채소;통곡물;균형식,에너지 음료;과도한 카페인;과음,실신;가슴통증;호흡곤란;심한 어지러움,심장내과;순환기내과,심전도 검사가 필요한가요?;두근거림 기록은 어떻게 하면 좋나요?;카페인 제한이 필요한가요?,article-arrhythmia-1;NHS,두근거림;심계항진;맥박;심전도
arteriosclerosis,arteriosclerosis,동맥경화,심혈관 질환,혈관 건강과 위험요인 관리를 이해하기 위한 참고정보입니다.,가슴통증;다리 통증;손발 차가움;검진 이상,대부분 무증상;운동 시 통증;가슴 불편감 가능성,고혈압;고지혈증;흡연;당뇨;운동 부족,혈압과 지질 수치를 기록합니다.;금연과 활동량 증가를 고려합니다.;정기 검진을 유지합니다.,채소와 통곡물 중심 식사가 도움이 될 수 있습니다.;포화지방과 짠 음식은 주의가 필요합니다.,채소;통곡물;생선;콩류;과일,가공육;튀김;짠 음식;과음,가슴통증;호흡곤란;한쪽 팔다리 마비;말이 어눌함,순환기내과;심장내과;가정의학과,혈관 검사가 필요한 상황인가요?;동반 위험요인은 어떻게 관리하나요?;운동 강도는 어떻게 정하나요?,article-arteriosclerosis-1;WHO,동맥경화;혈관;죽상경화;심혈관위험
