id,diseaseId,title,channel,summary,url,category
video-diabetes-1,diabetes,혈당 관리를 위한 식사 기본 원칙,샘플 건강채널,식사 순서와 탄수화물 기록 방법을 쉽게 설명하는 mock 영상입니다.,https://www.youtube.com/results?search_query=당뇨+혈당+관리+식사,식이요법
video-hyperlipidemia-1,hyperlipidemia,고지혈증 생활관리 시작하기,의학정보 샘플TV,지질 수치와 식습관 기록을 이해하기 위한 mock 영상입니다.,https://www.youtube.com/results?search_query=고지혈증+생활관리,생활관리
video-fatty-liver-1,fatty-liver,지방간과 간수치 기록법,간건강 샘플,간수치와 생활습관 변화를 기록하는 방법을 다룹니다.,https://www.youtube.com/results?search_query=지방간+간수치+생활관리,생활관리
video-gout-1,gout,통풍과 요산 관리 참고자료,관절건강 샘플,통풍 의심 증상과 음식 기록을 정리한 mock 영상입니다.,https://www.youtube.com/results?search_query=통풍+요산+음식,식이요법
video-obesity-1,obesity,체중 기록과 식사 패턴 점검,생활습관 샘플,체중과 식습관을 무리 없이 기록하는 방법을 소개합니다.,https://www.youtube.com/results?search_query=비만+생활습관+식사기록,생활관리
video-hypertension-1,hypertension,고혈압 생활관리와 저염식 시작하기,의학정보 샘플TV,나트륨 섭취를 줄이는 방법과 혈압 측정 습관을 다룹니다.,https://www.youtube.com/results?search_query=고혈압+저염식+생활관리,생활관리
video-hypotension-1,hypotension,저혈압과 어지러움 기록하기,순환기 샘플,기립성 어지러움과 수분 섭취 기록을 정리한 mock 영상입니다.,https://www.youtube.com/results?search_query=저혈압+어지러움+기립성,증상기록
video-angina-1,angina,가슴통증이 있을 때 확인할 응급 신호,심장건강 샘플,협심증 참고정보와 응급 증상 구분을 안내하는 mock 영상입니다.,https://www.youtube.com/results?search_query=협심증+가슴통증+응급,응급안내
video-arrhythmia-1,arrhythmia,두근거림과 맥박 기록법,심전도 샘플,부정맥 상담 전 두근거림 양상을 기록하는 방법을 다룹니다.,https://www.youtube.com/results?search_query=부정맥+두근거림+맥박,증상기록
video-arteriosclerosis-1,arteriosclerosis,혈관 건강과 위험요인 관리,심혈관 샘플,동맥경화 위험요인을 생활관리 관점에서 정리한 mock 영상입니다.,https://www.youtube.com/results?search_query=동맥경화+생활관리,생활관리
video-gastritis-1,gastritis,위염 증상 완화를 위한 식습관,건강노트,속쓰림이 있을 때 주의할 음식과 식사 패턴을 정리한 예시 영상입니다.,https://www.youtube.com/results?search_query=위염+식습관+관리,식이요법
