id,diseaseId,title,source,type,summary,url,lastReviewed
article-diabetes-1,diabetes,당뇨병 생활관리 개요,질병관리청,웹문서,당뇨병의 기본 개념과 생활관리 방향을 확인할 수 있는 참고 자료입니다.,https://health.kdca.go.kr/,2026-06-13
article-hyperlipidemia-1,hyperlipidemia,고지혈증과 심혈관 위험 관리,국민건강보험공단,웹문서,지질 수치와 생활습관 점검에 참고할 수 있는 자료입니다.,https://www.nhis.or.kr/,2026-06-13
article-fatty-liver-1,fatty-liver,지방간 건강정보,대학병원 건강정보,웹문서,간수치와 지방간 상담 전 확인할 항목을 정리한 참고자료입니다.,https://www.google.com/search?q=대학병원+지방간+건강정보,2026-06-13
article-gout-1,gout,통풍과 요산 정보,NHS,웹문서,통풍 증상과 요산 관련 생활관리 참고자료입니다.,https://www.nhs.uk/search/results?q=gout,2026-06-13
article-obesity-1,obesity,비만과 건강위험 개요,WHO,웹문서,비만과 생활습관 관리 방향을 이해하기 위한 국제 자료입니다.,https://www.who.int/health-topics/obesity,2026-06-13
article-hypertension-1,hypertension,고혈압 이해와 생활요법,질병관리청,웹문서,혈압 관리와 저염식 방향을 살펴볼 때 참고할 수 있는 자료입니다.,https://health.kdca.go.kr/,2026-06-13
article-hypotension-1,hypotension,저혈압 증상과 상담 기준,NHS,웹문서,어지러움과 실신 위험이 있을 때 참고할 수 있는 자료입니다.,https://www.nhs.uk/search/results?q=low+blood+pressure,2026-06-13
article-angina-1,angina,협심증과 가슴통증 참고자료,MedlinePlus,웹문서,가슴통증과 응급 신호를 구분할 때 참고할 수 있는 자료입니다.,https://medlineplus.gov/angina.html,2026-06-13
article-arrhythmia-1,arrhythmia,부정맥과 두근거림 정보,MedlinePlus,웹문서,맥박 불규칙과 심전도 상담 전 확인할 내용을 정리한 자료입니다.,https://medlineplus.gov/arrhythmia.html,2026-06-13
article-arteriosclerosis-1,arteriosclerosis,동맥경화와 심혈관 위험,WHO,웹문서,혈관 건강 위험요인과 예방적 생활관리 방향을 볼 수 있는 자료입니다.,https://www.who.int/health-topics/cardiovascular-diseases,2026-06-13
article-gastritis-1,gastritis,위염과 소화불량 자료,국가건강정보포털,웹문서,속쓰림과 상복부 불편감이 있을 때 참고할 수 있는 자료입니다.,https://health.kdca.go.kr/,2026-06-13
article-reflux-1,reflux,역류성 식도염 생활관리,NHS,웹문서,신물 역류와 식후 습관을 점검할 때 참고할 수 있는 자료입니다.,https://www.nhs.uk/search/results?q=acid+reflux,2026-06-13
article-ibs-1,ibs,과민성대장증후군 정보,NHS,웹문서,복통과 배변 변화가 반복될 때 참고할 수 있는 자료입니다.,https://www.nhs.uk/search/results?q=IBS,2026-06-13
article-constipation-1,constipation,변비 생활관리,MedlinePlus,웹문서,수분과 식이섬유 섭취를 점검할 때 참고할 수 있는 자료입니다.,https://medlineplus.gov/constipation.html,2026-06-13
