id,name,relatedDiseaseIds,category,description,emergencyLevel,recommendedAction,searchAliases
sym-001,가슴통증,angina;hypertension;arteriosclerosis,심혈관 질환,가슴 통증은 응급 신호일 수 있어 양상 확인이 필요합니다.,emergency,통증이 지속되거나 숨참 식은땀이 동반되면 즉시 응급 도움을 요청하세요.,흉통;가슴 아픔;가슴압박;심장통증
sym-002,호흡곤란,asthma;angina;bronchitis,호흡기 질환,숨쉬기 어렵거나 말하기 힘든 증상입니다.,emergency,증상이 심하면 즉시 119 또는 응급실 도움을 요청하세요.,숨참;숨이참;숨막힘;숨쉬기 어려움
sym-003,의식저하,hypotension;stress-headache,기타,반응이 둔하거나 깨우기 어려운 상태입니다.,emergency,즉시 응급 도움을 요청하세요.,의식 흐림;반응저하;깨우기 어려움
sym-004,한쪽 팔다리 마비,arteriosclerosis;hypertension,심혈관 질환,한쪽 팔이나 다리에 힘이 빠지는 증상입니다.,emergency,뇌졸중 가능성을 배제할 수 없어 즉시 응급실 상담이 필요합니다.,편마비;팔마비;다리마비;한쪽 힘빠짐
sym-005,말이 어눌함,arteriosclerosis;hypertension,심혈관 질환,말이 갑자기 부정확해지는 증상입니다.,emergency,갑자기 발생하면 즉시 응급 도움을 요청하세요.,발음 이상;말 어눌;언어장애
sym-006,심한 두통,stress-headache;hypertension,정신건강 / 수면,갑작스럽고 매우 강한 두통입니다.,emergency,평소와 다른 극심한 두통이면 즉시 의료기관 상담이 필요합니다.,극심한 두통;벼락두통;갑작스러운 두통
sym-007,심한 복통,gastritis;diarrhea;gallstones,소화기 질환,강한 복통이나 악화되는 복통입니다.,emergency,통증이 심하거나 발열 구토가 동반되면 빠른 진료가 필요합니다.,극심한 복통;배가 심하게 아픔;복통 심함
sym-008,피를 토함,gastritis;reflux,소화기 질환,토사물에 피가 섞이는 증상입니다.,emergency,즉시 응급실 상담을 권장합니다.,토혈;피 섞인 구토;피구토
sym-009,검은 변,gastritis;hemorrhoids,소화기 질환,검고 끈적한 변은 출혈 신호일 수 있습니다.,emergency,반복되면 빠른 의료기관 상담이 필요합니다.,흑변;검정변;까만 변
sym-010,자살 생각,depressed-mood;insomnia;anxiety,정신건강 / 수면,스스로를 해치고 싶은 생각입니다.,emergency,즉시 주변 사람과 전문기관에 도움을 요청하세요.,자해 생각;죽고 싶음;극단적 생각
sym-011,극심한 어지러움,hypotension;arrhythmia,심혈관 질환,서 있기 어렵거나 쓰러질 것 같은 어지러움입니다.,emergency,실신 가능성이 있으면 즉시 도움을 요청하세요.,심한 어지러움;쓰러질 것 같음;현기증 심함
sym-012,속쓰림,gastritis;reflux,소화기 질환,명치나 가슴 아래쪽이 쓰린 느낌입니다.,caution,반복되거나 체중 감소가 동반되면 소화기내과 상담을 권장합니다.,위쓰림;가슴쓰림;쓰림
sym-013,더부룩함,gastritis;ibs,소화기 질환,식후 배가 답답하거나 소화가 느린 느낌입니다.,normal,식사와 증상 시간을 기록해 보세요.,복부 답답함;배더부룩;소화 안됨
sym-014,소화불량,gastritis;gallstones;reflux,소화기 질환,식후 불편감이나 체한 느낌입니다.,normal,반복되면 식사 일지와 함께 상담을 준비하세요.,체함;소화 안됨;위 불편
sym-015,혈당 상승,diabetes,대사 질환,혈당 수치가 높게 확인되는 상태입니다.,caution,반복적으로 높으면 의료진 상담을 권장합니다.,고혈당;혈당 높음;당 수치
sym-016,갈증,diabetes,대사 질환,물을 자주 마시고 싶은 느낌입니다.,normal,잦은 소변이나 체중 감소가 함께 있으면 상담을 고려하세요.,목마름;심한 갈증;물을 많이 마심
sym-017,잦은 소변,diabetes,대사 질환,소변 횟수가 늘어난 상태입니다.,normal,갈증과 체중 변화가 함께 있으면 기록해 보세요.,다뇨;소변 자주;화장실 자주
sym-018,피로,diabetes;fatty-liver;depressed-mood,기타,쉽게 지치거나 회복이 더딘 느낌입니다.,normal,수면 식사 활동량을 함께 기록해 보세요.,피곤;피로감;무기력
sym-019,두통,hypertension;stress-headache;insomnia,정신건강 / 수면,머리가 아프거나 조이는 느낌입니다.,normal,갑작스럽고 심하면 응급 신호일 수 있습니다.,머리아픔;머리 통증;긴장성두통
sym-020,어지러움,hypotension;arrhythmia;hypertension,심혈관 질환,빙글거리거나 쓰러질 듯한 느낌입니다.,caution,실신이나 가슴통증이 동반되면 빠른 상담이 필요합니다.,현기증;어질어질;기립성 어지러움
sym-021,불면,insomnia;anxiety;depressed-mood,정신건강 / 수면,잠들기 어렵거나 자주 깨는 상태입니다.,normal,2주 이상 지속되면 상담을 고려하세요.,잠 안옴;잠을 못잠;수면장애
sym-022,코막힘,rhinitis,호흡기 질환,코로 숨쉬기 어려운 상태입니다.,normal,환경과 시간대를 기록해 보세요.,코가 막힘;막힌 코;비폐색
sym-023,콧물,rhinitis,호흡기 질환,코에서 분비물이 흐르는 증상입니다.,normal,알레르기 유발 환경을 함께 확인해 보세요.,맑은 콧물;코물;비루
sym-024,기침,bronchitis;asthma;chronic-cough;reflux,호흡기 질환,마른기침 또는 가래 기침이 반복되는 상태입니다.,normal,8주 이상 지속되거나 피가 섞이면 상담이 필요합니다.,마른기침;잔기침;기침 지속
sym-025,가래,bronchitis;chronic-cough,호흡기 질환,기도 분비물이 나오는 증상입니다.,normal,색 변화와 기간을 기록해 보세요.,객담;노란 가래;끈적한 가래
sym-026,관절 통증,arthritis;gout;psoriasis,근골격계 질환,관절 부위의 통증입니다.,normal,붓기 열감 발열이 있으면 진료 상담을 권장합니다.,관절통;무릎 통증;손가락 통증
sym-027,허리 통증,back-pain,근골격계 질환,허리 부위 통증이나 뻣뻣함입니다.,normal,다리 힘 빠짐이나 대소변 이상은 빠른 상담이 필요합니다.,요통;허리아픔;허리
sym-028,목 통증,neck-disc;stress-headache,근골격계 질환,목 주변 통증이나 긴장입니다.,normal,팔 저림이나 힘 빠짐이 있으면 상담을 고려하세요.,목아픔;경추통;목 결림
sym-029,피부 가려움,atopic-dermatitis;urticaria;psoriasis,피부 질환,피부를 긁고 싶은 느낌입니다.,normal,발진 진물 부종을 함께 기록해 보세요.,가려움;소양감;피부 간지러움
sym-030,발진,atopic-dermatitis;urticaria;psoriasis;acne,피부 질환,피부에 붉거나 오돌토돌한 변화가 생긴 상태입니다.,normal,범위와 동반 증상을 기록해 보세요.,피부 발진;붉은 반점;피부 트러블
sym-031,변비,constipation;ibs;hemorrhoids;hemorrhoidal-disease;anal-fissure,소화기 질환,배변이 어렵거나 횟수가 줄어든 상태입니다.,normal,수분 섭취와 식이섬유 섭취를 기록해 보세요.,배변 어려움;딱딱한 변;잔변감
sym-032,설사,diarrhea;ibs;hemorrhoids;anal-fistula,소화기 질환,묽은 변이 자주 나오는 상태입니다.,caution,탈수 혈변 고열이 있으면 진료 상담을 권장합니다.,묽은 변;물설사;잦은 배변
sym-033,복부팽만,ibs;constipation;gastritis,소화기 질환,배에 가스가 차고 불편한 느낌입니다.,normal,식사와 스트레스 상황을 함께 기록하세요.,배가 빵빵;가스 참;복부 더부룩
sym-034,체중 증가,obesity;diabetes;fatty-liver,대사 질환,체중이 늘거나 복부비만이 나타나는 상태입니다.,normal,식사 수면 활동량을 함께 기록해 보세요.,살찜;몸무게 증가;복부비만
sym-035,체중 감소,diabetes;gastritis;depressed-mood,기타,의도하지 않은 체중 감소입니다.,caution,설명되지 않는 체중 감소는 의료기관 상담을 권장합니다.,살빠짐;몸무게 감소;급격한 체중감소
sym-036,식욕 저하,gastritis;depressed-mood;diarrhea,기타,먹고 싶은 마음이 줄어드는 상태입니다.,normal,기간과 체중 변화를 같이 기록하세요.,입맛 없음;식욕 없음;밥맛 없음
sym-037,심장 두근거림,arrhythmia;anxiety;hyperthyroid-placeholder,심혈관 질환,심장이 빠르게 뛰거나 불규칙하게 느껴지는 증상입니다.,caution,실신 가슴통증이 함께 있으면 빠른 상담이 필요합니다.,두근거림;심계항진;심장이 빨리 뜀
