id,slug,diseaseId,diseaseName,symptom,category,nickname,title,summary,content,hospitalVisited,helpfulFoods,cautionFoods,helpfulExercises,helpfulHabits,helpfulVideos,caution,relatedTags,status,createdAt,updatedAt,isPersonalExperience,agreeToPublic,agreeMedicalDisclaimer
exp-diabetes-1,diabetes-sweet-drink-record,diabetes,당뇨,혈당 상승,식이요법,혈당노트,간식을 바꾸고 혈당 변화를 기록했습니다,단 음료를 줄인 뒤 피로감 변화를 관찰했습니다.,간식과 식후 컨디션을 함께 기록해 패턴을 확인했습니다.,진료받지 않음,견과류;무가당 요거트,과도한 음주;자극적인 식사,단 음료 줄이기;식사 시간 지키기,단 음료 줄이기;식사 시간 지키기,,혈당 수치가 높으면 자가 관리만 하지 말고 진료가 필요합니다.,당뇨;혈당 상승;식이요법,approved,2026-06-14,2026-06-14,true,true,true
exp-hyperlipidemia-1,hyperlipidemia-1,hyperlipidemia,고지혈증,검진 이상,식이요법,지질기록,검진표 수치를 따로 적어두었습니다,식사와 운동 변화를 함께 적으니 상담 준비에 참고가 되었습니다.,수치를 해석하기보다 변화와 질문을 정리하는 데 집중했습니다.,진료받지 않음,귀리;채소,과도한 음주;자극적인 식사,튀김 줄이기;걷기 기록,튀김 줄이기;걷기 기록,,지질 수치 해석과 약물 상담은 의료진과 상의해야 합니다.,고지혈증;검진 이상;식이요법,approved,2026-06-14,2026-06-14,true,true,true
exp-fatty-liver-1,fatty-liver-1,fatty-liver,지방간,간수치 상승,식이요법,간수첩,음주량과 간수치를 같이 적었습니다,음주와 야식이 많았던 주를 표시해 보니 상담 때 설명하기 쉬웠습니다.,생활 기록은 참고자료로만 사용했고 검사는 병원에서 확인했습니다.,진료받지 않음,두부;채소,과도한 음주;자극적인 식사,음주 줄이기;야식 줄이기,음주 줄이기;야식 줄이기,,간수치가 높으면 의료기관 상담을 권장합니다.,지방간;간수치 상승;식이요법,approved,2026-06-14,2026-06-14,true,true,true
exp-gout-1,gout-1,gout,통풍,발가락 통증,식이요법,요산메모,발 통증 전날 먹은 음식을 기록했습니다,술을 마신 날과 수분 섭취가 적은 날을 구분해 적었습니다.,통증이 있을 때는 자가 판단하지 않고 진료 일정을 확인했습니다.,진료받지 않음,물;저지방 유제품,과도한 음주;자극적인 식사,수분 섭취;음주 줄이기,수분 섭취;음주 줄이기,,관절 열감과 발열이 있으면 진료가 필요합니다.,통풍;발가락 통증;식이요법,approved,2026-06-14,2026-06-14,true,true,true
exp-obesity-1,obesity-1,obesity,비만,체중 증가,식이요법,천천히기록,체중보다 생활패턴을 먼저 기록했습니다,야식과 수면 시간이 체중 변화와 함께 보이는 것 같았습니다.,무리한 제한보다 기록을 이어가는 데 초점을 두었습니다.,진료받지 않음,채소;통곡물,과도한 음주;자극적인 식사,야식 줄이기;활동량 기록,야식 줄이기;활동량 기록,,체중 관리는 개인 상태에 따라 의료진 상담이 필요할 수 있습니다.,비만;체중 증가;식이요법,approved,2026-06-14,2026-06-14,true,true,true
exp-hypertension-1,hypertension-1,hypertension,고혈압,혈압 상승,식이요법,저염연습,국물 섭취를 줄이고 혈압을 기록했습니다,특별한 증상은 없었지만 검진에서 혈압이 높게 나왔습니다.,아침마다 같은 시간에 혈압을 재고 산책을 했습니다.,진료받지 않음,채소 반찬;잡곡밥,과도한 음주;자극적인 식사,저염식;아침 혈압 기록,저염식;아침 혈압 기록,,약 복용 여부는 반드시 의사와 상의해야 합니다.,고혈압;혈압 상승;식이요법,approved,2026-06-14,2026-06-14,true,true,true
exp-hypotension-1,hypotension-1,hypotension,저혈압,어지러움,증상기록,천천히일어나기,일어날 때 어지러운 시간을 적었습니다,아침 공복과 수분 섭취가 적은 날 어지러움이 잦았습니다.,갑자기 일어나지 않고 증상 시간을 기록했습니다.,진료받지 않음,물;수프,과도한 음주;자극적인 식사,수분 섭취;천천히 일어나기,수분 섭취;천천히 일어나기,,실신이나 의식저하가 있으면 즉시 도움을 요청해야 합니다.,저혈압;어지러움;증상기록,approved,2026-06-14,2026-06-14,true,true,true
exp-angina-1,angina-1,angina,협심증,가슴통증,증상기록,흉통기록,가슴 압박감을 느낀 상황을 적었습니다,계단을 오른 뒤 답답함을 느낀 시간을 기록해 상담 때 보여주었습니다.,가슴통증은 가볍게 넘기지 않고 응급 신호를 확인했습니다.,진료받지 않음,채소;생선,과도한 음주;자극적인 식사,무리한 운동 중단;증상 시간 기록,무리한 운동 중단;증상 시간 기록,,가슴통증이 지속되면 응급 진료가 필요할 수 있습니다.,협심증;가슴통증;증상기록,approved,2026-06-14,2026-06-14,true,true,true
exp-arrhythmia-1,arrhythmia-1,arrhythmia,부정맥,심장 두근거림,증상기록,맥박메모,두근거림이 올 때 카페인 섭취를 같이 적었습니다,커피를 많이 마신 날과 잠을 못 잔 날을 따로 표시했습니다.,심전도 상담 전 기록을 정리하는 데 도움이 된 것 같았습니다.,진료받지 않음,물;균형식,과도한 음주;자극적인 식사,카페인 줄이기;수면 기록,카페인 줄이기;수면 기록,,실신이나 가슴통증이 동반되면 즉시 상담이 필요합니다.,부정맥;심장 두근거림;증상기록,approved,2026-06-14,2026-06-14,true,true,true
exp-arteriosclerosis-1,arteriosclerosis-1,arteriosclerosis,동맥경화,검진 이상,증상기록,혈관체크,검진 결과와 생활습관을 한 장에 모았습니다,혈압과 콜레스테롤 수치를 같은 표에 적으니 질문이 정리되었습니다.,수치 해석은 의료진에게 확인했습니다.,진료받지 않음,통곡물;채소,과도한 음주;자극적인 식사,금연 시도;걷기 기록,금연 시도;걷기 기록,,마비나 말 어눌함은 응급 신호일 수 있습니다.,동맥경화;검진 이상;증상기록,approved,2026-06-14,2026-06-14,true,true,true
