id,diseaseId,symptomKeywords,title,category,description,recommendedExercises,cautionExercises,suitableFor,notSuitableFor,intensity,frequency,duration,warning,videoSearchUrl
exercise-diabetes-1,diabetes,혈당 상승;갈증;피로,당뇨 생활관리 참고 운동,유산소,혈당 변화와 컨디션을 기록하며 무리하지 않는 활동을 참고할 수 있습니다.,걷기;가벼운 근력운동;식후 가벼운 활동,공복 고강도 운동;무리한 장시간 운동,혈당과 식사 상태를 기록하며 가벼운 운동을 시작하려는 사람,저혈당 증상이나 어지러움이 있는 사람,보통,주 3~5회,20~30분,저혈당 위험이 있을 수 있으므로 약 복용 식사 상태 혈당 상태에 따라 의료진 상담이 필요할 수 있습니다.,https://www.youtube.com/results?search_query=당뇨+운동요법
exercise-hypertension-1,hypertension,혈압 상승;두통;가슴 답답함,고혈압 생활관리 참고 운동,유산소,혈압 기록과 함께 낮은 강도의 유산소 운동을 참고할 수 있습니다.,가벼운 걷기;스트레칭;호흡 안정 운동,갑작스러운 고강도 운동;무거운 중량 운동,혈압을 기록하며 운동 습관을 만들려는 사람,가슴통증이나 호흡곤란이 있는 사람,보통,주 3~5회,20~30분,갑작스러운 고강도 운동과 무거운 중량 운동은 주의가 필요할 수 있습니다.,https://www.youtube.com/results?search_query=고혈압+운동
exercise-hyperlipidemia-1,hyperlipidemia,콜레스테롤;중성지방;검진 이상,고지혈증 유산소 참고 운동,유산소,지질 수치와 생활습관 기록을 함께 볼 때 참고할 수 있는 운동입니다.,걷기;자전거;수영,갑작스러운 고강도 인터벌;무리한 장거리 운동,검진 후 활동량을 늘리고 싶은 사람,심혈관 증상이 있거나 운동 제한을 안내받은 사람,보통,주 3~5회,30분 내외,개인 체력과 심혈관 상태에 따라 운동 강도를 조절해야 합니다.,https://www.youtube.com/results?search_query=고지혈증+운동
exercise-fatty-liver-1,fatty-liver,간수치 상승;복부비만;피로,지방간 생활관리 참고 운동,유산소,체중과 간수치 기록을 함께 보며 활동량을 늘리는 데 참고할 수 있습니다.,걷기;실내 자전거;가벼운 근력운동,무리한 고강도 운동;음주 후 운동,활동량이 적고 체중 관리를 시작하려는 사람,심한 피로와 복통이 있는 사람,보통,주 3~5회,20~40분,간수치 이상이 지속되거나 통증이 있으면 의료기관 상담을 권장합니다.,https://www.youtube.com/results?search_query=지방간+운동
exercise-obesity-1,obesity,체중 증가;복부비만;숨참,비만 생활활동 참고 운동,유산소,무리하지 않는 활동량 증가를 목표로 하는 생활관리 참고자료입니다.,걷기;계단 대신 평지 걷기;가벼운 근력운동,관절 통증을 악화시키는 점프 운동;무리한 고강도 운동,체중과 활동량을 함께 기록하려는 사람,심한 숨참이나 가슴통증이 있는 사람,낮음,주 4~6회,10~30분,통증이나 호흡곤란이 생기면 운동을 중단하고 상담이 필요합니다.,https://www.youtube.com/results?search_query=비만+운동+걷기
exercise-gastritis-1,gastritis,속쓰림;소화불량;상복부 통증,위염 식후 생활관리 활동,생활관리,식후 바로 눕지 않고 가벼운 활동을 참고할 수 있습니다.,식후 가벼운 걷기;상체 세우기;복부 압박이 적은 활동,식후 강한 복근운동;몸을 많이 숙이는 운동,식후 더부룩함을 기록하는 사람,심한 복통이나 구토가 있는 사람,낮음,증상에 따라,10~20분,식후 강한 운동은 증상에 따라 주의가 필요할 수 있습니다.,https://www.youtube.com/results?search_query=위염+생활관리+걷기
exercise-reflux-1,reflux,속쓰림;신물 역류;목 이물감,역류성 식도염 식후 활동 참고,생활관리,식후 자세와 가벼운 활동을 관리하는 참고자료입니다.,식후 가벼운 걷기;상체 세우기;느린 산책,식후 바로 눕기;강한 복근운동;몸 숙이기,식후 역류감을 기록하는 사람,가슴통증이나 삼킴 곤란이 있는 사람,낮음,증상에 따라,10~20분,가슴통증이 있으면 운동보다 의료기관 상담이 우선입니다.,https://www.youtube.com/results?search_query=역류성식도염+생활관리+운동
exercise-ibs-1,ibs,복통;복부팽만;변비;설사,과민성대장증후군 긴장 완화 활동,스트레칭,복부 긴장과 스트레스 상황을 함께 기록하며 참고할 수 있는 활동입니다.,가벼운 걷기;복식호흡;전신 스트레칭,복통이 심한 때의 강한 운동;식후 바로 격한 운동,스트레스와 배변 변화를 기록하는 사람,혈변 체중 감소 야간 설사가 있는 사람,낮음,주 3~5회,10~20분,혈변이나 체중 감소가 있으면 생활관리보다 진료 상담이 필요합니다.,https://www.youtube.com/results?search_query=과민성대장증후군+운동+스트레칭
exercise-constipation-1,constipation,변비;잔변감;복부팽만,변비 생활관리 참고 활동,유산소,장운동과 배변 습관을 기록하며 참고할 수 있는 활동입니다.,걷기;가벼운 복부 마사지;전신 스트레칭,통증이 심한 때의 복부 압박 운동;무리한 복근운동,활동량이 적고 변비를 기록하는 사람,심한 복통이나 구토가 있는 사람,낮음,주 4~6회,10~30분,심한 복통이나 혈변이 있으면 의료기관 상담을 권장합니다.,https://www.youtube.com/results?search_query=변비+운동+걷기
exercise-hemorrhoids-1,hemorrhoids,치질;항문 통증;항문 출혈;변비,치질 항문질환 생활관리 참고 활동,생활관리,오래 앉아 있는 시간을 줄이고 배변 부담을 낮추는 데 참고할 수 있습니다.,가벼운 걷기;오래 앉기 중간 휴식;골반 주변 긴장 완화,무거운 중량 운동;과도한 힘주기;장시간 자전거,항문 불편감과 변비를 기록하는 사람,심한 통증 출혈 고름 열이 있는 사람,낮음,매일 또는 주 4~6회,10~20분,심한 통증 출혈 고름 열이 있으면 의료기관 상담이 필요합니다.,https://www.youtube.com/results?search_query=치질+생활관리+운동
