id,diseaseId,symptomKeywords,title,description,recommendedIngredients,cautionIngredients,mealTips,avoidPatterns,suitableFor,warning,videoSearchUrl
diet-diabetes-1,diabetes,혈당 상승;갈증;피로,당뇨 식습관 참고자료,혈당 변화와 식사 패턴을 함께 기록할 때 참고할 수 있습니다.,채소;통곡물;단백질 식품;견과류,단 음료;과자;설탕이 많은 음식;정제 탄수화물 과다 섭취,식사 시간을 규칙적으로 유지;단 음료 줄이기;혈당 변화를 기록하며 식습관 확인,폭식;식사 거르기;단 음료 자주 마시기,혈당과 식사 기록을 함께 관리하려는 사람,식이요법은 개인 상태와 약물 사용에 따라 달라질 수 있어 의료진 상담이 필요할 수 있습니다.,https://www.youtube.com/results?search_query=당뇨+식이요법
diet-hypertension-1,hypertension,혈압 상승;두통,고혈압 저염식 참고자료,혈압 기록과 함께 나트륨 섭취를 점검할 때 참고할 수 있습니다.,채소;과일;저염식 재료;칼륨이 풍부한 식품,짠 음식;가공식품;국물 과다 섭취;과도한 음주,국물 섭취 줄이기;가공식품 나트륨 확인;가정혈압 기록,라면 국물 자주 섭취;젓갈류 과다;짠 안주,혈압과 식습관을 함께 기록하는 사람,신장 질환이나 약 복용 상태에 따라 칼륨 섭취는 상담이 필요합니다.,https://www.youtube.com/results?search_query=고혈압+저염식
diet-hyperlipidemia-1,hyperlipidemia,콜레스테롤;중성지방,고지혈증 식습관 참고자료,지질 수치와 지방 섭취 패턴을 함께 확인하는 참고자료입니다.,귀리;채소;콩류;등푸른 생선;견과류,튀김;가공육;버터 과다 섭취;단 음식,포화지방 줄이기;채소와 단백질 함께 구성;검진 수치 기록,야식;튀김 자주 섭취;단 음식 반복,지질 수치 관리 상담 전 식사를 정리하려는 사람,식단만으로 수치 변화를 단정하지 말고 의료기관 상담을 권장합니다.,https://www.youtube.com/results?search_query=고지혈증+식이요법
diet-fatty-liver-1,fatty-liver,간수치 상승;복부비만,지방간 식습관 참고자료,간수치와 음주 단 음식 섭취를 함께 기록할 때 참고할 수 있습니다.,채소;콩류;생선;통곡물;두부,술;단 음료;야식;고열량 가공식품,음주량 기록;단 음료 줄이기;식사량 천천히 조절,폭식;잦은 음주;늦은 야식,간수치와 생활습관을 정리하려는 사람,간수치 이상이 지속되면 의료기관 상담을 권장합니다.,https://www.youtube.com/results?search_query=지방간+식이요법
diet-gout-1,gout,요산;발가락 통증,통풍 요산 식습관 참고자료,요산 수치와 통증 발생일을 음식 기록과 함께 살펴볼 수 있습니다.,물;저지방 유제품;채소;통곡물,맥주;내장류;과도한 육류;액상과당 음료,수분 섭취 기록;음주 줄이기;통증 전날 음식 기록,술자리 후 과식;단 음료 반복;극단적 식단 제한,요산과 식사 패턴을 기록하는 사람,통증이나 열감이 심하면 식습관 조절보다 의료기관 상담이 필요합니다.,https://www.youtube.com/results?search_query=통풍+식이요법
diet-obesity-1,obesity,체중 증가;복부비만,비만 식사기록 참고자료,체중과 식사 시간을 함께 기록하는 생활관리 참고자료입니다.,채소;통곡물;두부;생선;물,단 음료;야식;고열량 간식;가공식품,식사 속도 늦추기;야식 횟수 기록;수분 섭취 확인,무리한 굶기;폭식 반복;야식 습관,체중과 생활습관을 기록하려는 사람,체중 관리는 개인 상태에 따라 의료기관 상담이 필요할 수 있습니다.,https://www.youtube.com/results?search_query=비만+식습관+관리
diet-gastritis-1,gastritis,속쓰림;소화불량;상복부 통증,위염 식습관 참고자료,속쓰림과 식사 자극 요인을 기록할 때 참고할 수 있습니다.,부드러운 음식;자극이 적은 식사;미음;죽,술;커피;매운 음식;야식;기름진 음식,소량씩 천천히 먹기;증상 유발 음식 기록;야식 줄이기,과식;식후 바로 눕기;자극 음식 반복,속쓰림과 식사 내용을 함께 기록하는 사람,심한 복통 구토 출혈이 있으면 의료기관 상담이 필요합니다.,https://www.youtube.com/results?search_query=위염+식이요법
diet-reflux-1,reflux,속쓰림;신물 역류;목 이물감,역류성 식도염 식습관 참고자료,식후 역류감과 식사 시간 자세를 함께 점검할 때 참고할 수 있습니다.,자극이 적은 음식;소량씩 나누어 먹기;기름기 적은 단백질,과식;야식;카페인;초콜릿;기름진 음식,식후 바로 눕지 않기;저녁 식사 시간 앞당기기;소량씩 먹기,늦은 야식;식후 눕기;카페인 반복,신물 역류와 식후 습관을 기록하는 사람,가슴통증이나 삼킴 곤란이 있으면 의료기관 상담이 필요합니다.,https://www.youtube.com/results?search_query=역류성식도염+식이요법
diet-ibs-1,ibs,복통;복부팽만;설사;변비,과민성대장 식사일지 참고자료,개인별 유발 음식이 다를 수 있어 식사와 증상을 함께 기록합니다.,쌀밥;바나나;두부;따뜻한 물,기름진 음식;과음;개인 유발 음식;카페인,식사 일지 작성;스트레스와 수면 함께 기록;새 음식은 천천히 확인,한 번에 여러 음식 제한;폭식;불규칙 식사,복부팽만과 배변 변화를 기록하는 사람,혈변 체중 감소 야간 설사가 있으면 의료기관 상담이 필요합니다.,https://www.youtube.com/results?search_query=과민성대장증후군+식이요법
diet-constipation-1,constipation,변비;잔변감;복부팽만,변비 수분 식이섬유 참고자료,배변 부담을 줄이기 위해 수분과 식이섬유 섭취를 기록합니다.,물;채소;과일;귀리;요거트,수분 부족;과도한 가공식품;과음,물 섭취량 기록;식이섬유 천천히 늘리기;배변 시간 고정,수분 없이 섬유질만 늘리기;장시간 참기;식사 거르기,변비와 생활습관을 기록하는 사람,심한 복통 혈변 구토가 있으면 의료기관 상담이 필요합니다.,https://www.youtube.com/results?search_query=변비+식이섬유+식습관
